FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
26/03/1925,  12.5,  Nulo  ,  19 , 5.5 ,
27/03/1925,  0,  Nulo, 19  ,7 ,
28/03/1925,  0,  Nulo  ,  19.5  , 6.5 ,
29/03/1925,  8,  Nulo  ,  20 , 7.5 ,
30/03/1925,  0,  Nulo  ,  21.3  , 6.2 ,
31/03/1925,  0,  Nulo, 21  ,7 ,
01/04/1925,  0,  Nulo, 20  ,9 ,
02/04/1925,  0,  Nulo ,21,  10 ,
03/04/1925,  114 ,  Nulo, 25  ,11.5 ,
04/04/1925,  4,  Nulo, 23  ,10.2 ,
05/04/1925,  0,  Nulo ,18,  13 ,
06/04/1925,  0,  Nulo  ,  18 , 8.6 ,
07/04/1925,  0,  Nulo  ,  22 , 9.5 ,
08/04/1925,  0,  Nulo  ,  20.5  , 8.4 ,
09/04/1925,  0,  Nulo, 21.7,7 ,
10/04/1925,  0,  Nulo  ,  21.5  , 7.5 ,
11/04/1925,  0,  Nulo  ,  23 , 8.7 ,
12/04/1925,  0,  Nulo, 22.5,8 ,
13/04/1925,  0,  Nulo  ,  22 , 8.5 ,
14/04/1925,  0,  Nulo  ,  23.5  , 9.2 ,
15/04/1925,  0,  Nulo, 21  ,7 ,
16/04/1925,  0,  Nulo  ,  20 , 7.3 ,
17/04/1925,  0,  Nulo  ,  19 , 4.8 ,
18/04/1925,  0,  Nulo  ,  18.5  , 5.2 ,
19/04/1925,  0,  Nulo, 23  ,8 ,
20/04/1925,  0,  Nulo  ,  23.5  , 9.6 ,
21/04/1925,  0,  Nulo, 24.5,11.3 ,
22/04/1925,  0,  Nulo, 24  ,10.2 ,
23/04/1925,  0,  Nulo, 23  ,10.6 ,
24/04/1925,  0,  Nulo, 23  ,10.2 ,
25/04/1925,  0,  Nulo ,24,  11 ,
26/04/1925,  0,  Nulo, 23  ,8 ,
27/04/1925,  0,  Nulo  ,  23.5  , 8.5 ,
28/04/1925,  0,  Nulo  ,  23 , 9.5 ,
29/04/1925,  2.5 ,  Nulo  ,  22.6  , 8.5 ,
30/04/1925,  5,  Nulo, 21.2,11.5 ,
01/05/1925,  0,  Nulo  ,  22 , 9.5 ,
02/05/1925,  0,  Nulo  ,  17.5  , 8.5 ,
03/05/1925,  0,  Nulo, 20  ,8 ,
04/05/1925,  1.8 ,  Nulo, 22.2,10.5 ,
05/05/1925,  4.5 ,  Nulo, 21.5,7 ,
06/05/1925,  0,  Nulo  ,  20 , 6.5 ,
07/05/1925,  0,  Nulo, 22.5,8 ,
08/05/1925,  0,  Nulo, 22.5,12.5 ,
09/05/1925,  0,  Nulo, 23.5,15.5 ,
10/05/1925,  4.7 ,  Nulo ,28,  12 ,
11/05/1925,  0,  Nulo ,27.2 ,  13 ,
12/05/1925,  0,  Nulo, 26  ,12.5 ,
13/05/1925,  0,  Nulo, 27  ,13.5 ,
14/05/1925,  0,  Nulo, 24  ,12.5 ,
15/05/1925,  0,  Nulo  ,  22.2  , 9.5 ,
16/05/1925,  0,  Nulo, 21  ,8 ,
17/05/1925,  3.5 ,  Nulo, 22  ,11.2 ,
18/05/1925,  6,  Nulo, 21.3,10.2 ,
19/05/1925,  0,  Nulo  ,  20.5  , 7.2 ,
20/05/1925,  0,  Nulo, 20.2,6 ,
21/05/1925,  0,  Nulo, 19.6,6 ,
22/05/1925,  0,  Nulo  ,  21.5  , 8.5 ,
23/05/1925,  0,  Nulo, 23.5,6 ,
24/05/1925,  0,  Nulo  ,  24.5  , 6.5 ,
25/05/1925,  0,  Nulo  ,  24.5  , 6.5 ,
26/05/1925,  0,  Nulo  ,  23.5  , 8.2 ,
27/05/1925,  0,  Nulo  ,  23.5  , 9.3 ,
28/05/1925,  1.3 ,  Nulo  ,  23 , 8.5 ,
29/05/1925,  0,  Nulo ,23,  12 ,
30/05/1925,  0,  Nulo, 24  ,11.5 ,
31/05/1925,  0,  Nulo ,24.6 ,  10 ,
01/06/1925,  0,  Nulo ,25.5 ,  11 ,
02/06/1925,  21.5,  Nulo, 26.8,11.8 ,
03/06/1925,  22.5,  Nulo ,26.5 ,  11 ,
04/06/1925,  54.5,  Nulo, 23.5,10.2 ,
05/06/1925,  62.2,  Nulo ,17.5 ,  12 ,
06/06/1925,  50  ,  Nulo, 21.5,10.5 ,
07/06/1925,  16.7,  Nulo ,20,  14 ,
08/06/1925,  72.4,  Nulo, 21  ,13.5 ,
09/06/1925,  52.5,  Nulo ,20.5 ,  14 ,
10/06/1925,  20  ,  Nulo, 22  ,13.8 ,
11/06/1925,  0,  Nulo ,26,  12 ,
12/06/1925,  13.7,  Nulo ,26,  13 ,
13/06/1925,  0,  Nulo, 27  ,10.5 ,
14/06/1925,  0,  Nulo ,27.5 ,  11 ,
15/06/1925,  26.2,  Nulo  ,  26.5  , 9.5 ,
16/06/1925,  12.5,  Nulo ,27,  10 ,
17/06/1925,  25  ,  Nulo, 27  ,10.5 ,
18/06/1925,  12  ,  Nulo, 19.8,11.3 ,
19/06/1925,  25  ,  Nulo, 20  ,11.5 ,
20/06/1925,  13.7,  Nulo, 23.5,10.5 ,
21/06/1925,  0,  Nulo, 23  ,10.5 ,
22/06/1925,  8.7 ,  Nulo, 18.5,12.5 ,
23/06/1925,  20  ,  Nulo, 23  ,11.5 ,
24/06/1925,  23.2,  Nulo, 22.5,10.8 ,
25/06/1925,  8,  Nulo, 21.8,10.6 ,
26/06/1925,  0,  Nulo, 23.5,8 ,
27/06/1925,  33.7,  Nulo, 21.6,9 ,
28/06/1925,  42.5,  Nulo  ,  21.5  , 9.6 ,
29/06/1925,  0,  Nulo  ,  22.8  , 9.4 ,
30/06/1925,  0,  Nulo  ,  22.5  , 9.5 ,
01/07/1925,  15  ,  Nulo  ,  21 , 9.5 ,
02/07/1925,  0,  Nulo  ,  22.5  , 9.2 ,
03/07/1925,  8.5 ,  Nulo ,22.5 ,  10 ,
04/07/1925,  3.2 ,  Nulo ,24.5 ,  11 ,
05/07/1925,  0,  Nulo, 25  ,9 ,
06/07/1925,  20.5,  Nulo, 24  ,9 ,
07/07/1925,  18  ,  Nulo ,20,  11 ,
08/07/1925,  9,  Nulo  ,  20.2  , 8.5 ,
